doc,class
product_type-shirt fabric-crepe fabric-denim cut-pocket sleeve_style-short_sleeve fit-skinny,0
product_type-shirt cut-crossfront cut-keyholeback cut-criss_cross cut-keyhole color-black color_group-dark,0
product_type-shirt fabric-denim style-classic fit-classicfit neckline-button_collar cut-pocket cut-button,0
product_type-shirt sleeve_style-dolman cut-peplum color-orange color-pink color_group-bright color_group-dark color_group-warm_color color_group-pale fabric-delicate fabric-denim style-flattering fit-skinny length-maxi,0
product_type-shirt cut-ruffle cut-cutout cut-cut_out sleeve_style-cold_shoulder,0
product_type-shirt sleeve_style-cold_shoulder sleeve_style-long_sleeve style-simple style-flattering style-classic fabric-denim cut-cut_out cut-highlowhem fit-loose,0
product_type-shirt cut-keyhole cut-tank color-pattern color-black color_group-pattern color_group-dark,0
product_type-shirt neckline-off_the_shoulder color-orange color-pink color_group-bright color_group-warm_color color_group-pale cut-smock cut-highlowhem,0
product_type-shirt color-pattern color-purple color-white color_group-pattern color_group-pale color_group-cool_color sleeve_style-cold_shoulder sleeve_style-short_sleeve style-romantic style-elegant fit-skinny fabric-denim,0
product_type-shirt color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color neckline-highneck cut-cutout cut-cut_out cut-tank fabric-slip fabric-denim fit-high_rise,0
product_type-shirt cut-cutout cut-cut_out color-black color_group-dark sleeve_style-short_sleeve,0
product_type-shirt neckline-highneck cut-cutout cut-wrap color-blue color-pattern color_group-bright color_group-dark color_group-cool_color color_group-pattern,0
product_type-shirt fabric-lace fabric-crochet sleeve_style-short_sleeve length-maxi color-pink color-green color_group-pale color_group-warm_color color_group-cool_color fit-loose,0
product_type-shirt,0
product_type-shirt fabric-denim fabric-cotton color-blue color-pattern color-white color-black color_group-bright color_group-cool_color color_group-pattern color_group-pale color_group-dark sleeve_style-long_sleeve cut-frontpocket,0
product_type-shirt sleeve_style-long_sleeve neckline-off_the_shoulder color-pattern color-pink color-white color_group-pale fabric-denim,0
product_type-shirt sleeve_style-long_sleeve sleeve_style-bellsleeve cut-cutout color-black color_group-dark style-classic fit-slim fabric-denim,0
product_type-shirt sleeve_style-long_sleeve cut-ruffle cut-cuff color-pattern color-black color-white color_group-pattern color_group-dark color_group-pale fit-fitted fabric-denim,0
product_type-shirt color-purple color-pink color_group-pale color_group-cool_color color_group-warm_color cut-peplum sleeve_style-short_sleeve,0
product_type-shirt color-gray color-pink color_group-pale color_group-warm_color cut-tieback fabric-lace,0
product_type-shirt fit-muscle_fit fabric-denim style-classic color-white color-pattern color_group-pale color_group-pattern sleeve_style-short_sleeve cut-button_down,0
product_type-shirt neckline-off_the_shoulder fabric-crochet fabric-denim sleeve_style-bellsleeve sleeve_style-long_sleeve color-blue color_group-bright color_group-dark color_group-cool_color length-mini,0
product_type-shirt neckline-oneshoulder color-blue color-pattern color_group-bright color_group-dark color_group-cool_color color_group-pattern cut-ruffle cut-tiewaist fabric-denim length-mini,0
product_type-shirt cut-pleated sleeve_style-cold_shoulder sleeve_style-short_sleeve style-retro style-fun style-simple fit-skinny fabric-slip fabric-denim,0
product_type-shirt color-pattern color-red color-pink color_group-dark color_group-warm_color color_group-pale color_group-pattern sleeve_style-bellsleeve style-boho neckline-v_neck,0
product_type-shirt color-pattern color-pink color-purple color-orange color_group-pale color_group-warm_color color_group-pattern color_group-cool_color color_group-bright neckline-off_the_shoulder cut-tiewaist fit-loose,0
product_type-shirt color-pattern color-white color-blue color_group-pale color_group-bright color_group-cool_color neckline-off_the_shoulder cut-smock cut-ruffle sleeve_style-bellsleeve fabric-denim,0
product_type-shirt cut-ruffle sleeve_style-mid_sleeve fabric-mid_weight style-flattering,0
product_type-shirt cut-keyholeback cut-tank cut-keyhole sleeve_style-sleeveless,0
product_type-shirt color-pattern color-white color_group-pattern color_group-pale fabric-denim,0
product_type-shirt color-gray color-pattern color_group-pattern,0
product_type-shirt sleeve_style-sleeveless cut-ruffle cut-tank color-black color_group-dark,0
product_type-shirt fabric-woven fit-muscle_fit style-classic cut-button,0
product_type-shirt cut-button cut-button_down sleeve_style-cold_shoulder style-bohemian style-fun color-pattern color_group-pattern fabric-denim,0
product_type-shirt sleeve_style-dolman cut-peplum color-pink color-orange color_group-pale color_group-warm_color color_group-bright color_group-dark fabric-delicate fabric-denim style-flattering fit-skinny length-maxi,0
product_type-shirt cut-keyhole cut-tank color-pattern color-black color_group-pattern color_group-dark,0
product_type-shirt color-pattern color-purple color-white color_group-pattern color_group-pale color_group-cool_color sleeve_style-cold_shoulder sleeve_style-short_sleeve style-romantic style-elegant fit-skinny fabric-denim,0
product_type-shirt color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color neckline-highneck cut-cutout cut-cut_out cut-tank fabric-slip fabric-denim fit-high_rise,0
product_type-shirt neckline-oneshoulder color-blue color-pattern color_group-bright color_group-dark color_group-cool_color color_group-pattern cut-ruffle cut-tiewaist fabric-denim length-mini,0
product_type-shirt color-pattern color-pink color-red color_group-pale color_group-warm_color color_group-dark color_group-pattern sleeve_style-bellsleeve style-boho neckline-v_neck,0
product_type-shirt color-pattern color-pink color-purple color-orange color_group-pale color_group-warm_color color_group-pattern color_group-cool_color color_group-bright neckline-off_the_shoulder cut-tiewaist fit-loose,0
product_type-shirt color-pattern color_group-pattern sleeve_style-short_sleeve neckline-roundneck,0
product_type-shirt fabric-denim color-pattern color-blue color_group-pattern color_group-bright color_group-cool_color cut-cuff cut-button neckline-button_collar,0
product_type-shirt neckline-v_neck neckline-halter_neck sleeve_style-short_sleeve sleeve_style-cold_shoulder fabric-slip fabric-cotton cut-cut_out fit-straight color-yellow color_group-dark color_group-warm_color,0
product_type-shirt neckline-v_neck neckline-halter_neck sleeve_style-short_sleeve sleeve_style-cold_shoulder fabric-slip fabric-cotton cut-cut_out fit-straight color-yellow color_group-dark color_group-warm_color,0
product_type-shirt neckline-v_neck neckline-halter_neck sleeve_style-short_sleeve sleeve_style-cold_shoulder fabric-slip fabric-cotton cut-cut_out fit-straight color-purple,0
product_type-shirt neckline-v_neck neckline-halter_neck sleeve_style-short_sleeve sleeve_style-cold_shoulder fabric-slip fabric-cotton cut-cut_out fit-straight color-purple color_group-cool_color,0
product_type-shirt fabric-velvet fabric-polyester fabric-lycra color-pattern color-brown color_group-pattern color_group-pale color_group-dark color_group-warm_color neckline-roundneck sleeve_style-elbowlength,0
product_type-shirt fabric-velvet fabric-polyester fabric-lycra color-pattern color-gray color_group-pattern neckline-roundneck sleeve_style-elbowlength,0
product_type-shirt fabric-velvet fabric-polyester fabric-lycra color-pattern color-brown color_group-pattern color_group-pale color_group-dark color_group-warm_color neckline-roundneck sleeve_style-elbowlength,0
product_type-shirt color-pattern color-blue color_group-bright color_group-cool_color color_group-pattern fabric-cotton cut-button_down neckline-collarless,0
product_type-shirt cut-peplum cut-peplum_hem neckline-button_collar fit-regular color-blue,0
product_type-shirt sleeve_style-sleeveless color-orange color-blue color_group-bright color_group-warm_color color_group-cool_color cut-distressed style-ripped fabric-denim neckline-highneck length-maxi,0
product_type-shirt sleeve_style-mid_sleeve fabric-stretchcotton neckline-point_collar neckline-button_collar fit-regular color-white color_group-pale,0
product_type-shirt fabric-woven neckline-point_collar cut-concealedbutton fit-regular color-black color_group-dark,0
product_type-shirt color-pattern color-blue color-white color_group-pattern color_group-pale neckline-point_collar fit-relaxed fit-oversized,0
product_type-shirt neckline-point_collar cut-concealedbutton fit-regular color-black color_group-dark,0
product_type-shirt cut-peplum cut-peplum_hem neckline-button_collar fit-regular color-blue,0
product_type-shirt fit-oversized color-pattern color-blue color-pink color_group-pattern color_group-dark neckline-collar cut-button cut-pocket,0
product_type-shirt sleeve_style-mid_sleeve fabric-stretchcotton neckline-point_collar neckline-button_collar fit-regular color-white color_group-pale,0
product_type-shirt fabric-woven neckline-point_collar cut-concealedbutton fit-regular color-black color_group-dark,0
product_type-shirt color-pattern color-blue color-white color_group-pattern color_group-pale neckline-point_collar fit-relaxed fit-oversized,0
product_type-shirt neckline-point_collar cut-concealedbutton fit-regular color-black color_group-dark,0
product_type-shirt fit-oversized color-pattern color-blue color-pink color_group-pattern color_group-dark neckline-collar cut-button cut-pocket,0
product_type-shirt color-black color_group-dark neckline-point_collar fit-regular,0
product_type-shirt fabric-denim color-blue color_group-bright color_group-cool_color length-midi neckline-point_collar sleeve_style-long_sleeve cut-button fit-regular style-classic,0
product_type-shirt color-pattern color_group-pattern neckline-point_collar neckline-button_collar fit-relaxed,0
product_type-shirt fabric-denim fabric-cotton color-blue color_group-bright color_group-cool_color cut-button_down neckline-button_collar fit-regular,0
product_type-shirt fabric-denim fabric-cotton fit-fitted fit-regular style-western color-blue color_group-bright color_group-cool_color length-midi neckline-collar,0
product_type-shirt color-off_white color_group-pale neckline-point_collar neckline-button_collar fit-regular,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown color_group-pale color_group-dark color_group-warm_color style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-brown style-classic style-vintage fit-relaxed fit-skinny,0
