doc,class
product_type-shirt cut-button_down cut-pocket neckline-collar neckline-button_collar fabric-wovencotton fit-regular_fit color-brown color-pink color_group-pale,1
product_type-shirt color-black color_group-dark neckline-collar cut-pocket fit-regular,1
product_type-shirt fit-slim fabric-cotton fabric-poplin cut-button_down cut-button cut-narrow neckline-button_collar,1
product_type-shirt fit-relaxed fit-regular_fit fabric-denim color-blue color_group-dark neckline-button_collar cut-pocket,1
product_type-shirt sleeve_style-short_sleeve color-pink neckline-point_collar neckline-button_collar fit-regular_fit,1
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve neckline-button_collar fit-regular,1
product_type-shirt color-gray color-pattern fabric-cotton neckline-point_collar neckline-button_collar cut-pocket fit-regular_fit,1
product_type-shirt fit-slim color-pattern color-white color_group-pale fabric-wovencotton neckline-point_collar neckline-button_collar cut-pocket,1
product_type-shirt color-pattern color-red color_group-pattern fabric-cotton neckline-point_collar neckline-button_collar fit-regular,1
product_type-shirt fit-slim fabric-denim fabric-cotton neckline-point_collar neckline-button_collar cut-pocket color-gray,1
product_type-shirt fit-slim fabric-denim color-blue color_group-pale color_group-bright color_group-cool_color neckline-point_collar neckline-button_collar cut-button cut-narrow,1
product_type-shirt color-blue color_group-dark cut-button_down cut-pocket neckline-button_collar sleeve_style-long_sleeve fit-regular_fit,1
product_type-shirt fit-slim color-brown color-pattern color_group-pattern cut-button_down neckline-button_collar,1
product_type-shirt neckline-collarless sleeve_style-short_sleeve fit-regular_fit cut-button color-blue color_group-dark,1
product_type-shirt fabric-jersey cut-pocket cut-button_down color-brown color_group-pale color_group-dark color_group-warm_color neckline-button_collar fit-regular,1
product_type-shirt color-pattern color-blue color-white color_group-pattern color_group-bright color_group-cool_color color_group-pale fit-slim fabric-woven fabric-cotton cut-button_down neckline-button_collar,1
product_type-shirt fit-regular color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color fabric-wovencotton neckline-point_collar cut-pocket,1
product_type-shirt fabric-cotton neckline-point_collar cut-pocket cut-button cut-cuff fit-regular_fit length-midi,1
product_type-shirt color-pattern color-blue length-mini neckline-button_collar cut-pocket fit-regular_fit,1
product_type-shirt cut-button_down cut-pocket fabric-denim fabric-cotton color-black color_group-dark neckline-button_collar fit-regular,1
product_type-shirt fabric-feather fabric-cotton color-pattern color-green color_group-cool_color neckline-point_collar neckline-button_collar fit-regular,1
product_type-shirt cut-pocket sleeve_style-short_sleeve fabric-woven neckline-point_collar fit-regular color-brown,1
product_type-shirt fabric-cotton color-pattern color-red color_group-pattern neckline-point_collar neckline-button_collar cut-pocket sleeve_style-long_sleeve fit-regular,1
product_type-shirt fit-regular sleeve_style-short_sleeve color-blue color_group-bright color_group-dark color_group-cool_color fabric-cotton fabric-twill neckline-point_collar cut-button,1
product_type-shirt cut-zipper color-pattern color-black color_group-dark neckline-point_collar fit-regular_fit,1
product_type-shirt color-white color-pattern color_group-pale neckline-reverecollar neckline-button_collar sleeve_style-short_sleeve fit-regular,1
product_type-shirt fit-slim color-pattern color-black color_group-dark fabric-woven neckline-point_collar neckline-button_collar,1
product_type-shirt fabric-wovencotton neckline-point_collar color-pattern color-white color_group-pattern color_group-pale cut-button fit-regular,1
product_type-shirt fabric-woven neckline-point_collar neckline-button_collar cut-pocket cut-sidesplit fit-regular color-black color_group-dark,1
product_type-shirt color-pattern color-blue color_group-pattern color_group-bright color_group-cool_color cut-button_down cut-button neckline-button_collar fit-regular,1
product_type-shirt color-pattern color-black color_group-dark fabric-cotton neckline-point_collar cut-button cut-cuff sleeve_style-long_sleeve fit-regular,1
product_type-shirt cut-pocket sleeve_style-short_sleeve fabric-wovencotton fit-regular color-blue color_group-bright color_group-dark color_group-cool_color,1
product_type-shirt fit-skinny fabric-corduroy neckline-collar cut-concealedbutton color-brown color_group-pale color_group-dark color_group-warm_color,1
product_type-shirt fit-slim fabric-cotton fabric-poplin color-blue color_group-bright color_group-cool_color neckline-point_collar neckline-button_collar cut-narrow,1
product_type-shirt fabric-flannel color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color cut-pocket neckline-point_collar neckline-button_collar sleeve_style-long_sleeve fit-regular,1
product_type-shirt fit-regular color-pattern color-blue color_group-pattern neckline-button_collar cut-pocket,1
product_type-shirt sleeve_style-long_sleeve neckline-button_collar fit-regular color-black color_group-dark,1
product_type-shirt fabric-woven neckline-point_collar neckline-button_collar cut-pocket fit-long_line fit-relaxed color-green,1
product_type-shirt fit-slim color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color cut-button_down cut-narrow neckline-button_collar,1
product_type-shirt color-pattern color-black color_group-pattern color_group-dark neckline-button_collar fit-regular,1
product_type-shirt fabric-wovencotton neckline-point_collar neckline-button_collar color-pattern color-white color_group-pattern color_group-pale sleeve_style-long_sleeve fit-regular,1
product_type-shirt color-blue color-pattern color_group-dark cut-button_down neckline-button_collar fit-regular_fit,1
product_type-shirt color-black color_group-dark neckline-collar cut-pocket fit-regular,1
product_type-shirt fit-slim fabric-cotton fabric-poplin cut-button_down cut-button cut-narrow neckline-button_collar,1
product_type-shirt fit-relaxed fit-regular_fit fabric-denim color-blue color_group-dark neckline-button_collar cut-pocket,1
product_type-shirt sleeve_style-short_sleeve color-pink neckline-point_collar neckline-button_collar fit-regular_fit,1
product_type-shirt fit-slim color-pattern color-white color_group-pale fabric-wovencotton neckline-point_collar neckline-button_collar cut-pocket,1
product_type-shirt color-pattern color-red color_group-pattern fabric-cotton neckline-point_collar neckline-button_collar fit-regular,1
product_type-shirt fit-slim fabric-denim color-blue color_group-pale color_group-bright color_group-cool_color neckline-point_collar neckline-button_collar cut-button cut-narrow,1
product_type-shirt color-blue color_group-dark cut-button_down cut-pocket neckline-button_collar sleeve_style-long_sleeve fit-regular_fit,1
product_type-shirt fabric-jersey cut-pocket cut-button_down color-brown color_group-pale color_group-dark color_group-warm_color neckline-button_collar fit-regular,1
product_type-shirt color-pattern color-blue color-white color_group-pattern color_group-bright color_group-cool_color color_group-pale fit-slim fabric-woven fabric-cotton cut-button_down neckline-button_collar,1
product_type-shirt fit-regular color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color fabric-wovencotton neckline-point_collar cut-pocket,1
product_type-shirt color-pattern color-blue length-mini neckline-button_collar cut-pocket fit-regular_fit,1
product_type-shirt fabric-feather fabric-cotton color-pattern color-green color_group-cool_color neckline-point_collar neckline-button_collar fit-regular,1
product_type-shirt cut-pocket sleeve_style-short_sleeve fabric-woven neckline-point_collar fit-regular color-brown,1
product_type-shirt fabric-cotton color-pattern color-red color_group-pattern neckline-point_collar neckline-button_collar cut-pocket sleeve_style-long_sleeve fit-regular,1
product_type-shirt fit-slim color-blue cut-button_down neckline-button_collar,1
product_type-shirt color-pattern color-white color_group-pattern color_group-pale cut-button_down cut-pocket cut-button neckline-collar fit-regular,1
product_type-shirt fit-skater_fit fit-relaxed fabric-denim fabric-cotton neckline-collar cut-button cut-pocket color-blue,1
product_type-shirt color-brown cut-button_down cut-pocket neckline-button_collar sleeve_style-long_sleeve fit-regular,1
product_type-shirt fabric-denim fit-slim color-gray color_group-pale neckline-point_collar cut-pocket,1
product_type-shirt fit-regular fabric-poplin color-white color-pattern color_group-pale color_group-pattern cut-button_down neckline-button_collar,1
product_type-shirt color-pattern color-green color_group-pattern color_group-cool_color neckline-point_collar neckline-button_collar cut-pocket fit-regular,1
product_type-shirt sleeve_style-short_sleeve fabric-jersey color-black color_group-dark neckline-collar cut-button fit-regular_fit,1
product_type-shirt color-green sleeve_style-long_sleeve neckline-point_collar neckline-button_collar cut-pocket fit-regular,1
product_type-shirt fit-muscle_fit fit-slim color-white color_group-pale fabric-jersey fabric-cotton fabric-stretchjersey neckline-collar cut-button,1
product_type-shirt fit-slim color-blue color_group-dark neckline-point_collar neckline-button_collar cut-narrow,1
product_type-shirt color-pattern color-blue cut-button_down cut-pocket neckline-button_collar fit-regular,1
product_type-shirt cut-button_down neckline-button_collar fit-regular color-brown color_group-pale,1
product_type-shirt sleeve_style-long_sleeve fabric-poplin neckline-point_collar neckline-button_collar cut-button fit-regular style-classic color-white color_group-pale,1
product_type-shirt sleeve_style-short_sleeve fabric-poplin neckline-point_collar neckline-button_collar cut-button fit-regular_fit style-classic color-blue color_group-pale,1
product_type-shirt fit-muscle_fit fit-slim fit-skinny fabric-denim fabric-jersey color-blue neckline-grandad neckline-button_collar,1
product_type-shirt color-pattern color-blue color_group-pattern color_group-bright color_group-cool_color neckline-point_collar neckline-button_collar cut-pocket fit-regular style-classic,1
product_type-shirt fit-skinny fabric-poplin color-black color_group-dark neckline-point_collar neckline-button_collar,1
product_type-shirt fit-slim neckline-grandad neckline-collar cut-button cut-narrow color-pattern color-blue color_group-pattern,1
product_type-shirt color-pattern color-black color_group-pattern color_group-dark neckline-button_collar cut-pocket fit-regular_fit,1
product_type-shirt sleeve_style-short_sleeve color-white color-pattern color_group-pale color_group-pattern fit-slim style-classic cut-button_down cut-pocket cut-narrow neckline-button_collar,1
product_type-shirt color-pattern color_group-pattern cut-button_down neckline-button_collar fit-regular_fit,1
product_type-shirt sleeve_style-short_sleeve color-pink color-pattern neckline-reverecollar neckline-button_collar fit-regular_fit fit-classicfit,1
product_type-shirt color-pattern color-black color_group-dark neckline-reverecollar cut-button fit-regular,1
product_type-shirt neckline-reverecollar sleeve_style-short_sleeve color-yellow cut-button fit-regular_fit style-classic,1
product_type-shirt color-pattern fit-slim neckline-point_collar neckline-button_collar cut-narrow,1
product_type-shirt color-pattern color-blue color_group-pattern sleeve_style-short_sleeve neckline-reverecollar cut-button fit-regular_fit,1
product_type-shirt color-pattern color-white color_group-pale neckline-button_collar sleeve_style-short_sleeve fit-regular_fit style-classic,1
product_type-shirt fit-regular color-pattern color-gray color_group-pattern cut-button_down cut-pocket cut-button neckline-collar style-classic,1
product_type-shirt style-vintage fit-oversized color-pattern color-purple color_group-pattern neckline-point_collar neckline-button_collar,1
product_type-shirt sleeve_style-long_sleeve color-pattern color-pink color_group-pattern cut-button_down neckline-button_collar fit-regular_fit,1
product_type-shirt sleeve_style-short_sleeve neckline-grandad neckline-collar cut-button fit-regular_fit style-classic color-blue color_group-dark,1
product_type-shirt color-pattern color_group-pattern sleeve_style-short_sleeve cut-button_down neckline-button_collar fit-regular fit-classicfit,1
product_type-shirt sleeve_style-short_sleeve color-pattern color-blue color_group-dark neckline-point_collar neckline-button_collar fit-regular,1
product_type-shirt sleeve_style-long_sleeve neckline-grandad neckline-collar neckline-button_collar color-white color_group-pale cut-pocket fit-regular,1
product_type-shirt fabric-denim color-blue color_group-bright color_group-cool_color neckline-point_collar neckline-button_collar cut-pocket fit-regular,1
product_type-shirt fabric-poplin cut-button_down cut-pocket cut-narrow neckline-collar neckline-button_collar fit-slim color-white color_group-pale style-goingout,1
product_type-shirt fit-slim color-white color_group-pale neckline-point_collar neckline-button_collar cut-button cut-narrow style-classic,1
product_type-shirt neckline-button_collar cut-pocket fit-regular color-black color_group-dark,1
product_type-shirt fit-skinny color-green color-pattern color_group-pattern neckline-button_collar,1
product_type-shirt color-pattern color-green color_group-pattern sleeve_style-short_sleeve neckline-point_collar neckline-button_collar cut-pocket fit-regular_fit style-classic,1
product_type-shirt fit-skinny color-pattern color-blue color_group-pattern color_group-dark neckline-point_collar neckline-button_collar,1
product_type-shirt fit-skinny neckline-reverecollar neckline-button_collar color-pattern color-white color_group-pattern color_group-pale style-goingout,1
product_type-shirt fit-muscle_fit color-white color-pattern color_group-pale color_group-pattern neckline-point_collar cut-pocket cut-closecut,1
product_type-shirt sleeve_style-short_sleeve neckline-grandad neckline-collar cut-button fit-regular style-classic color-white color_group-pale,1
product_type-shirt sleeve_style-short_sleeve neckline-grandad neckline-collar cut-button fit-regular color-white color_group-pale,1
product_type-shirt sleeve_style-short_sleeve color-pink neckline-point_collar neckline-button_collar cut-button fit-regular_fit style-classic,1
product_type-shirt fit-oversized color-blue color-pattern color_group-bright color_group-cool_color color_group-pattern neckline-point_collar neckline-button_collar cut-pocket,1
