,row_number,nbr_response_code,count,percent_nbr_response_code,last_nbr_code,count,percent_last_nbr_code,last_nlu_intents_list,count,percent_last_nlu_intents_list,last_nlu_subvertical,count,percent_last_nlu_subvertical,last_nlu_positive_aspects,count,percent_last_nlu_positive_aspects,last_nlu_positive_product_type,count,percent_last_nlu_positive_product_type,last_nlu_positive_brands,count,percent_last_nlu_positive_brands,last_nlu_negative_aspects,count,percent_last_nlu_negative_aspects,last_nlu_negative_product_type,count,percent_last_nlu_negative_product_type,last_nlu_gender,count,percent_last_nlu_gender,last_nlu_age_group,count,percent_last_nlu_age_group,customer_type,count,percent_customer_type,platform,count,percent_platform,os,count,percent_os,app,count,percent_app,device,count,percent_device
11,3,color_question,13559,0.12616191973798072,subvertical_selection_second,12913,0.12015110772007853,"[neutral, Shop Now]",15065,0.14017474156299722,footwear,4375.0,0.040707898728052624,[fabric],3725,0.03465986805988481,pants,2814,0.02618332046188345,"[[true, original penguin]]",125.0,0.0011630828208015035,[color],119.0,0.0011072548454030314,[shirt],30.0,0.00027913987699236086,unisex,953.0,0.008867343425790663,,469.0,0.004363886743647242,New Visitor,27156.0,0.2526774166534851,,9835.0,0.0915113563406623,Android 9,14866,0.13832311371228123,,11497,0.10697570552603909,Mac,6471,0.06021047146725224
12,20,consumer_mismatch,302,0.002810008095056433,no_products_for_type_single,286,0.00266113349399384,"[Opening, positive, Shop Now]",81,0.0007536776678793743,fragrance,56.0,0.0005210611037190737,"[color, fabric]",114,0.0010607315325709714,luggage,497,0.004624417295506778,,,,"[color, color]",1.0,9.30466256641203e-06,,,,,,,,,,,,,,,,Android 5.1.1,376,0.003498553124970923,Chrome/YaBrowser/Yowser/Safari,28,0.00026053055185953683,SAMSUNG SM-G960U,306,0.002847226745322081
13,40,order_information_no_escalation,1,9.30466256641203e-06,brand_question_answer,2,1.860932513282406e-05,"[Shop Now, Opening, neutral]",7,6.513263796488421e-05,,,,"[weather, color]",44,0.0004094051529221293,game console,96,0.0008932476063755548,,,,,,,,,,,,,,,,,,,,,,Linux x86_64,75,0.0006978496924809022,Chrome/Safari/SE/MetaSr,7,6.513263796488421e-05,SAMSUNG-SM-G930A,121,0.0011258641705358555
14,5,customer_care_url,8043,0.07483740102165196,product_type_selection,5346,0.049742726080038706,"[positive, Shop Now]",2501,0.023270961078596483,bags,2953.0,0.027476668558614723,[fit],1729,0.016087761577326398,jacket,2111,0.019642142677695793,"[[true, ralph lauren]]",7.0,6.513263796488421e-05,[size],15.0,0.00013956993849618043,[socks],11.0,0.00010235128823053232,,469.0,0.004363886743647242,baby,227.0,0.0021121584025755305,,,,Tablet,2.0,1.860932513282406e-05,OS12_4,10561,0.09826654136387744,CriOS/Safari,2268,0.02110297470062248,SM-G960U,1014,0.009434927842341798
15,19,cut_question,306,0.002847226745322081,clarify_for_product_type_aspect,293,0.0027262661319587245,"[Customer Support, FAQ, neutral]",82,0.0007629823304457863,furniture,57.0,0.0005303657662854857,"[fit, fabric]",131,0.0012189107961999759,cap,516,0.004801205884268607,,,,[activity],1.0,9.30466256641203e-06,[luggage],1.0,9.30466256641203e-06,,,,,,,,,,,,,OS13_0,383,0.003563685762935807,Chrome/Safari/VivoBrowser,30,0.00027913987699236086,Pixel 3 XL,307,0.0028565314078884928
16,15,material_question,680,0.00632717054516018,neckline_question,670,0.006234123919496059,[Frustration],163,0.0015166599983251607,bath,136.0,0.001265434109032036,[weather],485,0.004512761344709834,hat,710,0.006606310422152541,,,,"[activity, color]",3.0,2.7913987699236088e-05,[top],1.0,9.30466256641203e-06,,,,,,,,,,,,,Android 7.1.1,693,0.0064481311585235365,FxiOS/Safari,68,0.000632717054516018,SAMSUNG SM-G965U,396,0.0036846463762991635
17,37,remove_aspect_for_brand_no_type,2,1.860932513282406e-05,no_types_for_subvertical_occasion,3,2.7913987699236088e-05,"[Help, Shop Now, Aspect Question, neutral]",9,8.374196309770826e-05,,,,"[length, color]",47,0.0004373191406213654,shoe lace,100,0.0009304662566412029,,,,,,,,,,,,,,,,,,,,,,Android 5.0.2,77,0.0007164590176137263,Chrome/Safari/YaApp_Android/YaSearchBrowser,9,8.374196309770826e-05,SAMSUNG SM-N960U,124,0.0011537781582350915
18,9,style_question,2050,0.01907455826114466,positive_sku,1354,0.012598513114921887,"[Shop on sale, neutral]",852,0.007927572506583049,eyewear,621.0,0.00577819545374187,[sleeve style],840,0.007815916555786104,jeans,1143,0.01063522931340895,"[[true, ryder]]",4.0,3.721865026564812e-05,[body type],11.0,0.00010235128823053232,[garment care],4.0,3.721865026564812e-05,,,,,,,,,,,,,Android 7.0,1652,0.015371302559712672,Instagram,897,0.00834628232207159,SM-G965U,787,0.007322769439766267
19,17,clarify_for_product_type,550,0.005117564411526616,product_type_selection_second,493,0.00458719864524113,"[Frustration, Shop Now]",126,0.0011723874833679156,home decor,72.0,0.000669935704781666,"[color, color]",393,0.0036567323885999276,suit,605,0.005629320852679277,,,,[weather],1.0,9.30466256641203e-06,[cup],1.0,9.30466256641203e-06,,,,,,,,,,,,,OS11_4_1,506,0.004708159258604487,Chrome/Safari/ButtonSDK,43,0.00040010049035571726,SM-G973U,346,0.003219413247978562
20,35,brand_question_answer,3,2.7913987699236088e-05,order_information_button,5,4.6523312832060144e-05,"[Shop on sale, positive]",11,0.00010235128823053232,,,,"[style, color]",50,0.00046523312832060144,sandals,103,0.000958380244340439,,,,,,,,,,,,,,,,,,,,,,Android 10,82,0.0007629823304457863,Safari/Line,10,9.304662566412029e-05,ONEPLUS A6013,128,0.0011909968085007398
21,4,product_type_selection,9231,0.08589134015054944,color_question,6212,0.05780056386255152,"[New Search, neutral]",9527,0.0886455202702074,accessories,3810.0,0.03545076437802983,[cut],2041,0.018990816298046952,shorts,2409,0.02241493212248658,"[[false, original penguin]]",16.0,0.00014887460106259248,[fit],33.0,0.000307053864691597,[hat],18.0,0.0001674839261954165,female,523.0,0.004866338522233491,junior,454.0,0.004224316805151061,,7559.0,0.07033394433950853,Unknown,2.0,1.860932513282406e-05,,11497,0.10697570552603909,SamsungBrowser/Chrome/Safari,3877,0.036074176769979434,iPad,4363,0.04059624277725568
22,8,fit_question,2657,0.02472248843895676,sleeve style_question,1544,0.014366399002540173,"[Shop Now, Indifferent]",969,0.009016218026853257,swimwear,1929.0,0.017948694090608803,[size],847,0.007881049193750989,athletic shoes,1281,0.01191927274757381,"[[true, munsingwear]]",4.0,3.721865026564812e-05,[fabric],12.0,0.00011165595079694435,[boots],4.0,3.721865026564812e-05,,,,,,,,,,,,,Android 8.1.0,2387,0.022210229546025514,GSA/Safari,1851,0.017222930410428664,SM-G950U,873,0.008122970420477701
23,23,size_question,96,0.0008932476063755548,cut_question,91,0.0008467242935434946,"[Store Locator, neutral]",54,0.0005024517785862496,,,,"[fabric, fabric]",87,0.0008095056432778465,belt,325,0.0030240153340839095,,,,,,,,,,,,,,,,,,,,,,OS12_1_2,229,0.0021307677277083545,Chrome/Safari/Vivaldi,18,0.0001674839261954165,Pixel 3,245,0.0022796423287709472
24,39,negative_goodbye,1,9.30466256641203e-06,goodbye,3,2.7913987699236088e-05,"[Back, neutral, Shop Now]",9,8.374196309770826e-05,,,,"[body type, fabric]",45,0.0004187098154885413,vest,97,0.0009025522689419668,,,,,,,,,,,,,,,,,,,,,,Android 5.1,76,0.0007071543550473142,Focus/Chrome/Safari,7,6.513263796488421e-05,SM-G935V,121,0.0011258641705358555
25,7,no_products_for_type,2740,0.02549477543196896,no_products_for_type,1847,0.01718571176016302,[positive],1175,0.010932978515534134,outerwear,2294.0,0.021344895927349193,[body type],1025,0.00953727913057233,backpack,1325,0.012328677900495938,"[[true, blend]]",5.0,4.6523312832060144e-05,[cut],12.0,0.00011165595079694435,[athletic shoes],7.0,6.513263796488421e-05,,,,,,,,,,,,,Android 8.0.0,3549,0.03302224744819629,Browser,2090,0.019446744763801142,SM-N960U,974,0.009062741339685315
26,10,positive_sku,2016,0.01875819973388665,fit_question,1354,0.012598513114921887,,469,0.004363886743647242,watches,238.0,0.002214509690806063,[price],798,0.0074251207279967995,swim trunks,965,0.008978999376587608,"[[true, tom ford]]",1.0,9.30466256641203e-06,[sleeve style],8.0,7.443730053129624e-05,[handbag],3.0,2.7913987699236088e-05,,,,,,,,,,,,,OS12_3_2,1590,0.014794413480595126,Chrome/Safari/Instagram/Android,630,0.005861937416839579,SM-N950U,679,0.006317865882593768
27,38,continue_after_carousel,2,1.860932513282406e-05,negative_after_show_products,3,2.7913987699236088e-05,"[Choose All, neutral, Shop Now]",9,8.374196309770826e-05,,,,"[cut, color]",47,0.0004373191406213654,oxfords,99,0.0009211615940747909,,,,,,,,,,,,,,,,,,,,,,CrOS x86_64 12105.90.0,76,0.0007071543550473142,EdgiOS/Safari,8,7.443730053129624e-05,SM-G9650,122,0.0011351688331022675
28,25,no_lang_support,61,0.0005675844165511337,size_question,40,0.00037218650265648115,"[Not English, neutral]",51,0.00047453779088701346,,,,"[length, sleeve style]",80,0.0007443730053129623,slippers,223,0.0020749397523098824,,,,,,,,,,,,,,,,,,,,,,OS11_4,225,0.0020935490774427064,HeadlessChrome/Safari,17,0.0001581792636290045,LM-Q710(FGN),240,0.002233119015938887
