doc,class
product_type-shirt fabric-cotton sleeve_style-long_sleeve neckline-point_collar neckline-collar_button fit-regular_fit color-blue color_group-dark,0
product_type-shirt color-blue color_group-dark sleeve_style-long_sleeve fit-regular_fit fabric-jersey fabric-cotton neckline-point_collar neckline-collar_button,0
product_type-shirt sleeve_style-long_sleeve fabric-cotton fabric-pure_cotton fit-regular_fit fit-slim cut-button_down cut-one_button cut-cuff neckline-point_collar neckline-collar_button color-blue,0
product_type-shirt sleeve_style-long_sleeve fabric-cotton fabric-pure_cotton fit-regular_fit fit-slim neckline-point_collar neckline-collar_button cut-one_button cut-cuff style-classic color-blue,0
product_type-shirt sleeve_style-long_sleeve fabric-cotton fabric-pure_cotton fit-regular_fit fit-slim cut-button_down cut-one_button cut-cuff neckline-point_collar neckline-collar_button color-black color_group-dark,0
product_type-shirt sleeve_style-long_sleeve fabric-cotton fabric-pure_cotton fit-regular_fit fit-slim neckline-point_collar neckline-collar_button cut-one_button cut-cuff,0
product_type-shirt fit-slim sleeve_style-short_sleeve neckline-v_neck fabric-cotton cut-concealed_button style-going_out color-white color_group-pale,0
product_type-shirt fit-slim fabric-woven_cotton fabric-cotton neckline-point_collar neckline-collar_button color-black color_group-dark,0
product_type-shirt fit-slim fabric-cotton neckline-point_collar neckline-collar_button color-blue color_group-pale color_group-bright color_group-cool_color,0
product_type-shirt fabric-cotton cut-button_down neckline-collar_button fit-regular_fit color-white color_group-pale,0
product_type-shirt fit-slim neckline-collar_button cut-narrow color-white color_group-pale,0
product_type-shirt fit-slim fabric-cotton neckline-point_collar neckline-collar_button sleeve_style-long_sleeve color-blue color_group-bright color_group-dark color_group-cool_color,0
product_type-shirt fit-slim neckline-v_neck neckline-collar_button fabric-woven_cotton style-going_out,0
product_type-shirt fit-slim neckline-revere_collar neckline-collar_button sleeve_style-short_sleeve style-going_out color-blue color_group-dark,0
product_type-shirt fit-slim neckline-point_collar cut-pocket cut-concealed_button fabric-stretch_cotton style-going_out color-black color_group-dark,0
product_type-shirt fit-slim fabric-woven_cotton fabric-cotton fabric-elastane neckline-point_collar neckline-collar_button color-blue color_group-dark,0
product_type-shirt fit-slim color-blue fabric-woven fabric-cotton fabric-polyester neckline-point_collar neckline-collar_button,0
product_type-shirt fit-skinny neckline-grandad neckline-collar neckline-collar_button color-black color_group-dark,0
product_type-shirt fit-skinny neckline-grandad neckline-collar_button fabric-woven color-white color_group-pale,0
product_type-shirt fit-slim fabric-cotton fabric-elastane neckline-collar_button color-white color_group-pale,0
product_type-shirt fit-slim neckline-point_collar cut-pocket cut-concealed_button fabric-stretch_cotton style-going_out color-white color_group-pale,0
product_type-shirt fit-superskinny fit-super_skinny fabric-woven fabric-cotton fabric-elastane neckline-point_collar neckline-collar_button color-gray color_group-pale,0
product_type-shirt fabric-poplin fabric-cotton fabric-elastane fit-slim color-blue color_group-dark cut-button_down neckline-collar_button,0
product_type-shirt fabric-poplin fabric-cotton fabric-elastane fit-slim color-white color_group-pale cut-button_down neckline-collar,0
product_type-shirt fabric-poplin fabric-woven fabric-cotton fit-slim color-white color_group-pale cut-button_down neckline-collar_button,0
product_type-shirt fit-slim fabric-woven fabric-cotton fabric-nylon fabric-elastane neckline-collar_button color-green color_group-pale,0
product_type-shirt fit-slim fabric-woven fabric-cotton neckline-point_collar neckline-collar_button sleeve_style-long_sleeve color-white color_group-pale,0
product_type-shirt sleeve_style-long_sleeve fit-slim fabric-woven_cotton fabric-cotton fabric-elastane color-pattern color-blue color_group-pattern color_group-dark neckline-collar_button,0
product_type-shirt fit-slim fabric-cotton neckline-point_collar neckline-collar_button,0
product_type-shirt fit-slim fabric-woven fabric-cotton fabric-nylon fabric-elastane neckline-collar_button color-green color_group-pale,0
product_type-shirt fit-slim fabric-cotton neckline-point_collar neckline-collar_button color-blue color_group-pale color_group-bright color_group-cool_color,0
product_type-shirt fit-slim fabric-cotton neckline-point_collar neckline-collar_button sleeve_style-long_sleeve color-blue color_group-bright color_group-dark color_group-cool_color,0
product_type-shirt fit-slim neckline-point_collar cut-pocket cut-concealed_button fabric-stretch_cotton style-going_out color-black color_group-dark,0
product_type-shirt fit-superskinny fit-super_skinny fabric-woven fabric-cotton fabric-elastane neckline-point_collar neckline-collar_button color-gray color_group-pale,0
product_type-shirt fit-slim neckline-point_collar cut-pocket cut-concealed_button fabric-stretch_cotton style-going_out color-white color_group-pale,0
product_type-shirt fit-slim fabric-cotton neckline-point_collar neckline-collar_button color-pink,0
product_type-shirt fit-slim cut-button_down neckline-collar neckline-collar_button fabric-denim fabric-cotton color-blue,0
product_type-shirt neckline-collar neckline-collar_button fabric-woven_cotton fabric-cotton color-blue color_group-dark fit-regular_fit,0
product_type-shirt fit-slim color-pattern color-blue color_group-pattern color_group-bright color_group-cool_color fabric-cotton cut-button_down neckline-collar_button,0
product_type-shirt fit-slim neckline-collar_button cut-narrow color-white color_group-pale,0
product_type-shirt fit-slim fabric-woven fabric-cotton neckline-point_collar neckline-collar_button sleeve_style-long_sleeve color-white color_group-pale,0
product_type-shirt fit-skinny neckline-grandad neckline-collar neckline-collar_button color-black color_group-dark,0
product_type-shirt fit-regular_fit color-pattern color-blue color_group-pattern color_group-dark fabric-cotton cut-button_down cut-pocket neckline-collar_button,0
product_type-shirt fit-skinny neckline-grandad neckline-collar_button fabric-woven color-white color_group-pale,0
product_type-shirt color-pattern color_group-pattern fit-slim neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt fabric-cotton cut-button_down neckline-collar_button fit-regular_fit color-white color_group-pale,0
product_type-shirt fit-slim fabric-cotton fabric-elastane neckline-collar_button color-white color_group-pale,0
product_type-shirt fit-slim neckline-v_neck neckline-collar_button fabric-woven_cotton style-going_out,0
product_type-shirt fit-slim neckline-revere_collar neckline-collar_button sleeve_style-short_sleeve style-going_out color-blue color_group-dark,0
product_type-shirt fabric-poplin fabric-cotton fabric-elastane fit-slim color-white color_group-pale cut-button_down neckline-collar,0
product_type-shirt fit-slim fabric-woven_cotton fabric-cotton neckline-point_collar neckline-collar_button color-black color_group-dark,0
product_type-shirt fit-slim color-blue fabric-woven fabric-cotton fabric-polyester neckline-point_collar neckline-collar_button,0
product_type-shirt fabric-poplin fabric-cotton fabric-elastane fit-slim color-blue color_group-dark cut-button_down neckline-collar_button,0
product_type-shirt fabric-poplin fabric-cotton fabric-polyester fit-regular_fit color-blue color_group-bright color_group-cool_color neckline-point_collar neckline-collar_button,0
product_type-shirt fit-slim sleeve_style-short_sleeve neckline-v_neck fabric-cotton cut-concealed_button style-going_out color-white color_group-pale,0
product_type-shirt fabric-poplin fabric-woven fabric-cotton fit-slim color-white color_group-pale cut-button_down neckline-collar_button,0
product_type-shirt sleeve_style-long_sleeve fit-slim fabric-woven_cotton fabric-cotton fabric-elastane color-pattern color-blue color_group-pattern color_group-dark neckline-collar_button,0
product_type-shirt fit-slim fabric-cotton neckline-point_collar neckline-collar_button,0
product_type-shirt fit-slim fabric-cotton neckline-point_collar neckline-collar_button color-pink,0
product_type-shirt fit-slim cut-button_down neckline-collar neckline-collar_button fabric-denim fabric-cotton color-blue,0
product_type-shirt neckline-collar neckline-collar_button fabric-woven_cotton fabric-cotton color-blue color_group-dark fit-regular_fit,0
product_type-shirt fit-slim color-pattern color-blue color_group-pattern color_group-bright color_group-cool_color fabric-cotton cut-button_down neckline-collar_button,0
product_type-shirt fit-regular_fit color-pattern color-blue color_group-pattern color_group-dark fabric-cotton cut-button_down cut-pocket neckline-collar_button,0
product_type-shirt color-pattern color_group-pattern fit-slim neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt fabric-poplin fabric-cotton fabric-polyester fit-regular_fit color-blue color_group-bright color_group-cool_color neckline-point_collar neckline-collar_button,0
product_type-shirt neckline-collar neckline-point_collar neckline-collar_button fit-slim sleeve_style-long_sleeve color-black color_group-dark,0
product_type-shirt fabric-poplin cut-button_down cut-button neckline-collar fit-regular_fit style-classic color-blue color_group-dark,0
product_type-shirt sleeve_style-long_sleeve color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color neckline-point_collar neckline-collar_button fit-regular_fit,0
product_type-shirt sleeve_style-long_sleeve fabric-poplin cut-button neckline-point_collar neckline-collar_button fit-regular_fit style-classic color-gray color_group-pale,0
product_type-shirt fit-slim color-white color-pattern color_group-pale color_group-pattern neckline-collar_button cut-narrow,0
product_type-shirt fit-skinny sleeve_style-short_sleeve neckline-point_collar neckline-collar_button color-black color_group-dark,0
product_type-shirt fit-skinny fabric-cotton neckline-point_collar neckline-collar_button color-white color_group-pale style-going_out,0
product_type-shirt fit-skinny neckline-point_collar neckline-collar_button color-white color_group-pale style-going_out,0
product_type-shirt fit-slim style-classic neckline-collar_button cut-narrow,0
product_type-shirt fit-skinny sleeve_style-short_sleeve color-black color_group-dark neckline-point_collar cut-concealed_button,0
product_type-shirt fit-super_skinny neckline-grandad neckline-collar cut-button color-blue color_group-dark,0
product_type-shirt sleeve_style-short_sleeve neckline-point_collar neckline-collar_button fit-regular_fit style-classic,0
