Rule,Prob,Manual Label,Dress code active,Shirt,Female
Rule,Prob,Manual Label,Dress code business formal,Shirt,Male
"fabric cotton,fit tailored",1.0,"",""
"fabric cotton,neckline crew neck,fit not tailored,fabric not polyester",1.0,"",""
"fabric cotton,fabric polyester,fit not tailored,cut not button,length not short",0.9,"",""
"cut narrow,fabric poplin,fabric not cotton",0.8,"",""
"neckline v neck,fabric not poplin,fabric not cotton",0.7,"",""
"","","",""
"","","",""
"","","",""
Rule,Prob,Manual Label,Dress code casual,Shirt,Male
"cut hood,fit not oversized,fit not regular fit",1.0,"",""
"fabric denim,cut not hood,fit not oversized,fit not regular fit",0.9,"",""
"fit oversized,fit not regular fit",0.9,"",""
"fit relaxed,fit not oversized,cut not hood,cut not cuff,fit not regular fit,fabric not viscose,fabric not denim",0.9,"",""
"fabric viscose,fit not oversized,cut not hood,cut not cuff,fit not regular fit,fabric not denim",0.7,"",""
fit regular fit,0.7,"",""
"","","",""
"","","",""
"","","",""
Rule,Prob,Manual Label,Dress code cocktail,Shirt,Male
"","","",""
"","","",""
"","","",""
Rule,Prob,Manual Label,Dress code creative black tie,Shirt,Male
"cut criss cross,fabric not cotton",1.0,"",""
"fabric cotton,color_group not pattern,sleeve_style not long sleeve,sleeve_style not short sleeve",0.9,"",""
"","","",""
"","","",""
"","","",""
Rule,Prob,Manual Label,Dress code dressy casual,Shirt,Male
"cut one button,fit not regular fit",1.0,"",""
"style going out,cut not one button,cut not hood,fit not oversized,fit not regular fit,style not stylish,color not solid,neckline not collar button",0.9,"",""
"style stylish,fit not oversized,cut not hood,cut not one button,fit not regular fit,neckline not collar button",0.9,"",""
"color solid,fit not oversized,cut not hood,cut not one button,fit not regular fit,style not stylish,neckline not collar button",0.8,"",""
"neckline collar button,fit not oversized,cut not hood,cut not one button,fit not regular fit,cut not pocket",0.7,"",""
"style classic,cut not one button,cut not hood,fit not oversized,fit not regular fit,style not stylish,color not solid,style not going out,neckline not collar button",0.6,"",""
"cut narrow,cut not one button,cut not hood,fit not oversized,fit not regular fit,style not stylish,color not solid,style not classic,style not going out,neckline not collar button",0.6,"",""
"","","",""
"","","",""
"","","",""
Rule,Prob,Manual Label,Dress code festive,Shirt,Male
"cut narrow,style going out,color_group not dark,color not pattern",0.9,"",""
"color_group dark,cut not pocket,fit not slim,color not pattern,neckline not collar",0.9,"",""
"","","",""
"","","",""
"","","",""
Rule,Prob,Manual Label,Dress code white tie,Shirt,Male
"neckline crew neck,fit regular fit,color_group not pale",0.9,"",""
"","","",""
"","","",""
"","","",""
Rule,Prob,Manual Label,Dress code active,Shirt,Unisex
activity baseball,1.0,"",""
"fabric layered,activity not baseball",1.0,"",""
"","","",""
"","","",""
"","","",""
Rule,Prob,Manual Label,Dress code business formal,Shirt,Unisex
length long,1.0,"",""
"","","",""
"","","",""
"","","",""
Rule,Prob,Manual Label,Dress code casual,Shirt,Unisex
"","","",""
"","","",""
"","","",""
Rule,Prob,Manual Label,Dress code dressy casual,Shirt,Unisex
tank top,1.0,"",""
"","","",""
"","","",""
"","","",""
