,row_number,nbr_response_code,count,percent_nbr_response_code,last_nbr_code,count,percent_last_nbr_code,last_nlu_intents_list,count,percent_last_nlu_intents_list,last_nlu_subvertical,count,percent_last_nlu_subvertical,last_nlu_positive_aspects,count,percent_last_nlu_positive_aspects,last_nlu_positive_product_type,count,percent_last_nlu_positive_product_type,last_nlu_positive_brands,count,percent_last_nlu_positive_brands,last_nlu_negative_aspects,count,percent_last_nlu_negative_aspects,last_nlu_negative_product_type,count,percent_last_nlu_negative_product_type,last_nlu_gender,count,percent_last_nlu_gender,last_nlu_age_group,count,percent_last_nlu_age_group,customer_type,count,percent_customer_type,platform,count,percent_platform,os,count,percent_os,app,count,percent_app,device,count,percent_device
11,3,color_question,4116.0,0.12733966525384402,subvertical_selection,3028,0.09367942332085512,"[neutral, Shop Now]",4026,0.12455527024100485,outerwear,2592.0,0.08019057636976766,,1344,0.04158029885839804,jacket,1816,0.05618290381462117,"[[true, u.s. polo assn.]]",118.0,0.003650651239055781,[cut],25.0,0.0007734430591219874,[shirt],16.0,0.000495003557838072,female,5343.0,0.16530025059555115,,1344.0,0.04158029885839804,Returning Visitor,4115.0,0.12730872753147912,,2312.0,0.0715280141076014,OS13_1_2,2995,0.0926584784828141,,2363.0,0.07310583794821025,Mac,2490,0.07703492868854996
12,20,clarify_for_age_gender,54.0,0.0016706370077034928,clarify_for_product_type_aspect,28,0.000866256226216626,"[Shop Now, Opening, positive]",14,0.000433128113108313,electronics,4.0,0.000123750889459518,"[size uk, size uk, size us, size, size us, size eu, size eu, color]",85,0.0026297064010147573,hat,145,0.004485969742907527,"[[true, timberland]]",2.0,6.1875444729759e-05,,,,,,,,,,,,,,,,,,,Android 5.1.1,156,0.0048262846889212015,Chrome/Safari/EdgA,14.0,0.000433128113108313,Pixel 2,111,0.0034340871825016242
13,40,,,,positive_sku,1,3.09377223648795e-05,"[Show Wishlist, neutral, Shop Now]",4,0.000123750889459518,,,,"[fit, fit]",22,0.000680629892027349,jumpsuit,26,0.0008043807814868669,,,,,,,,,,,,,,,,,,,,,,U,36,0.001113758005135662,,,,moto e5 play,54,0.0016706370077034928
14,5,subvertical_selection_second,1334.0,0.04127092163474925,color_question,1451,0.04489063515144015,"[Shop Now, positive]",667,0.020635460817374624,lounge \u0026 underwear,702.0,0.02171828110014541,[cut],660,0.020418896760820468,jeans,1071,0.03313430065278594,"[[true, uspa]]",17.0,0.0005259412802029515,[color],19.0,0.0005878167249327104,[socks],4.0,0.000123750889459518,unisex,418.0,0.01293196794851963,baby,131.0,0.004052841629799214,,,,,,,,2363,0.07310583794821025,GSA/Safari,893.0,0.02762738607183739,iPad,302,0.009343192154193608
15,19,no_products_for_type_single,59.0,0.0018253256195278904,clarify_for_age_gender,31,0.0009590693933112644,"[Thank You, positive, Shop Now]",36,0.001113758005135662,furniture,4.0,0.000123750889459518,"[length, sleeve style]",90,0.002784395012839155,socks,148,0.004578782910002166,"[[true, varsity]]",2.0,6.1875444729759e-05,,,,,,,,,,,,,,,,,,,OS12_2,174,0.0053831636914890325,OPT,17.0,0.0005259412802029515,SAMSUNG SM-N950U1,115,0.003557838071961142
16,15,product_type_selection_second,115.0,0.003557838071961142,style_question,140,0.00433128113108313,"[Customer Support, neutral]",78,0.0024131423444606007,eyewear,30.0,0.0009281316709463849,"[size uk, size uk, size, size us, size us, size eu, size eu]",180,0.00556879002567831,cap,189,0.005847229526962225,"[[false, blend]]",2.0,6.1875444729759e-05,"[size, fabric]",2.0,6.1875444729759e-05,,,,,,,,,,,,,,,,OS13_1_1,344,0.010642576493518548,Chrome/Safari/XiaoMi,26.0,0.0008043807814868669,SAMSUNG SM-N950U,120,0.0037125266837855398
17,37,,,,negative_after_show_products,2,6.1875444729759e-05,"[Choose All, neutral, Shop Now]",5,0.00015468861182439748,,,,"[color, sleeve style]",25,0.0007734430591219874,sunglasses,27,0.0008353185038517464,,,,,,,,,,,,,,,,,,,,,,CrOS x86_64 12371.75.0,50,0.0015468861182439749,Chrome/Safari/SearchCraft,1.0,3.09377223648795e-05,SAMSUNG SM-G970U,55,0.0017015747300683723
18,9,consumer_mismatch,629.0,0.019459827367509203,consumer_mismatch,445,0.013767286452371377,[positive],332,0.010271323825139993,swimwear,116.0,0.003588775794326022,[neckline],429,0.013272282894533305,boots,448,0.013860099619466016,"[[false, uspa]]",6.0,0.000185626334189277,[fabric],8.0,0.000247501778919036,[vest],2.0,6.1875444729759e-05,,,,,,,,,,,,,OS13_1,1214,0.03755839495096371,Chrome/Safari/Puffin,135.0,0.004176592519258732,SM-G960F,253,0.007827243758314513
19,17,cut_question,78.0,0.0024131423444606007,product_type_selection_second,91,0.002815332735204034,[Frustration],41,0.0012684466169600593,dining,16.0,0.000495003557838072,[activity],99,0.0030628345141230705,sweatshirt,154,0.004764409244191443,"[[true, prada]]",2.0,6.1875444729759e-05,"[color, color]",1.0,3.09377223648795e-05,,,,,,,,,,,,,,,,OS12_4_2,312,0.009652569377842403,YaBrowser/Safari,24.0,0.000742505336757108,LM-Q710(FGN),116,0.003588775794326022
20,35,aspect_question_answer,1.0,3.09377223648795e-05,sub_group_types_question,3,9.28131670946385e-05,"[Help, Shop Now, positive]",5,0.00015468861182439748,,,,"[weather, color]",27,0.0008353185038517464,games,36,0.001113758005135662,,,,,,,,,,,,,,,,,,,,,,OS12_3_2,57,0.0017634501747981314,Chrome/UCBrowser/UCTurbo/Safari,1.0,3.09377223648795e-05,SAMSUNG SM-G975U,56,0.001732512452433252
21,4,product_type_selection,2818.0,0.08718250162423043,product_type_selection,1564,0.04838659777867153,,1344,0.04158029885839804,footwear,1985.0,0.0614113788942858,[fabric],759,0.02348173127494354,pants,1240,0.038362775732450574,"[[false, u.s. polo assn.]]",21.0,0.0006496921696624694,[fit],20.0,0.0006187544472975899,[jacket],6.0,0.000185626334189277,,1344.0,0.04158029885839804,kids,1273.0,0.0393837205704916,,1798.0,0.05562602481205334,,,,Mac OS,2475,0.07657086285307675,SamsungBrowser/Chrome/Safari,1503.0,0.04649939671441389,SM-N950U,363,0.011230393218451257
22,8,fit_question,650.0,0.020109519537171675,customer_care_url,505,0.015623549794264146,"[positive, Shop Now]",339,0.01048788788169415,watches,316.0,0.009776320267301922,[fit],461,0.014262290010209448,vest,477,0.01475729356804752,"[[false, jack]]",8.0,0.000247501778919036,[weather],11.0,0.0003403149460136745,[pan],2.0,6.1875444729759e-05,,,,,,,,,,,,,Android 8.0.0,1326,0.04102341985583021,Chrome/Safari/OPR,162.0,0.005011911023110479,SM-N960U,262,0.008105683259598429
23,23,size_chart,15.0,0.00046406583547319247,no_brand_for_type,16,0.000495003557838072,"[Shop Now, Back, neutral]",11,0.0003403149460136745,,,,"[color, fabric]",55,0.0017015747300683723,top,99,0.0030628345141230705,"[[true, hunter]]",1.0,3.09377223648795e-05,,,,,,,,,,,,,,,,,,,CrOS x86_64 12239.92.0,132,0.004083779352164094,Chrome/Safari/YaApp_Android/YaSearchBrowser,11.0,0.0003403149460136745,LGMP260,92,0.002846270457568914
