,parent_type,product_type,gender,dress_codes,percentages,counts,total_count
69,trousers,beach trousers,Female,"[""casual"",""cocktail"",""beach""]","['2.82%', '1.41%', '95.77%']","[4, 2, 136]",142
70,pants,culottes,Female,"[""active"",""dressy casual"",""casual"",""business formal"",""cocktail""]","['11.02%', '30.2%', '20.41%', '33.06%', '5.31%']","[27, 74, 50, 81, 13]",245
71,pants,palazzo pants,Female,"[""active"",""casual"",""business casual"",""dressy casual""]","['40.45%', '52.81%', '1.12%', '5.62%']","[36, 47, 1, 5]",89
72,trousers,drop crotch trousers,Male,"[""dressy casual""]",['100.0%'],[14],14
73,skirt,tutu,Female,"[""casual"",""business formal"",""dressy casual""]","['39.82%', '35.4%', '24.78%']","[45, 40, 28]",113
74,shirt,henley,Male,"[""business formal"",""casual"",""active"",""dressy casual""]","['3.43%', '77.71%', '10.86%', '8.0%']","[6, 136, 19, 14]",175
75,trousers,sailor trousers,Female,"[""casual""]",['100.0%'],[2],2
76,pants,trousers,Unisex,"[""casual""]",['100.0%'],[24],24
77,trousers,drop crotch trousers,Female,"[""casual""]",['100.0%'],[4],4
78,shirt,crop top,Female,"[""business formal"",""beach"",""casual"",""dressy casual"",""creative black tie"",""cocktail"",""active""]","['58.43%', '0.74%', '15.04%', '4.67%', '0.15%', '3.26%', '17.71%']","[1900, 24, 489, 152, 5, 106, 576]",3252
79,pants,treggings,Female,"[""dressy casual""]",['100.0%'],[1],1
80,pants,leggings,Male,"[""business formal"",""active""]","['80.35%', '19.65%']","[368, 90]",458
81,shirt,t-shirt,Unisex,"[""dressy casual"",""casual"",""business formal"",""active""]","['1.71%', '46.39%', '36.53%', '15.37%']","[39, 1059, 834, 351]",2283
82,dress,sundress,Female,"[""business formal"",""festive"",""beach"",""dressy casual"",""casual"",""cocktail""]","['8.05%', '0.15%', '1.23%', '0.77%', '89.58%', '0.23%']","[105, 2, 16, 10, 1169, 3]",1305
83,trousers,sweat trousers,Female,"[""dressy casual"",""business formal"",""active"",""casual""]","['2.61%', '2.99%', '55.6%', '38.81%']","[7, 8, 149, 104]",268
84,dress,bridesmaid dress,Female,"[""business formal"",""casual"",""creative black tie""]","['1.2%', '22.17%', '76.63%']","[5, 92, 318]",415
85,shirt,vest top,Female,"[""cocktail"",""business formal"",""dressy casual"",""creative black tie"",""active"",""casual""]","['0.66%', '1.49%', '1.82%', '0.17%', '67.0%', '28.88%']","[4, 9, 11, 1, 406, 175]",606
86,trousers,pegged trousers,Female,"[""dressy casual""]",['100.0%'],[3],3
87,romper,beach playsuit,Female,"[""casual"",""beach"",""dressy casual""]","['14.75%', '83.61%', '1.64%']","[18, 102, 2]",122
88,trousers,training trousers,Male,"[""casual"",""active""]","['5.26%', '94.74%']","[2, 36]",38
89,trousers,pleated trousers,Female,"[""cocktail""]",['100.0%'],[3],3
90,pants,harem pants,Male,"[""casual""]",['100.0%'],[96],96
