,parent_type,product_type,gender,dress_codes,percentages,counts,total_count
134,dress,sweatshirt dress,Female,"[""dressy casual"",""casual""]","['1.12%', '98.88%']","[2, 176]",178
135,dress,swing dress,Female,"[""business casual"",""cocktail"",""business formal"",""black tie"",""active"",""casual"",""dressy casual"",""creative black tie""]","['0.08%', '2.02%', '1.25%', '0.55%', '0.16%', '90.42%', '1.79%', '3.74%']","[1, 26, 16, 7, 2, 1161, 23, 48]",1284
136,jacket,suit jacket,Female,"[""dressy casual""]",['100.0%'],[11],11
137,pants,leggings,Unisex,"[""active""]",['100.0%'],[7],7
138,pants,pants,Female,"[""creative black tie"",""business casual"",""cocktail"",""casual"",""business formal"",""active"",""dressy casual""]","['0.04%', '1.09%', '0.42%', '68.93%', '8.22%', '13.04%', '8.26%']","[1, 26, 10, 1644, 196, 311, 197]",2385
139,pants,bootcut pants,Female,"[""business formal"",""casual"",""dressy casual""]","['6.67%', '80.0%', '13.33%']","[1, 12, 2]",15
140,trousers,cigarette trousers,Female,"[""casual"",""active"",""business formal"",""dressy casual"",""cocktail""]","['3.36%', '10.74%', '38.93%', '45.64%', '1.34%']","[5, 16, 58, 68, 2]",149
141,pants,tuxedo trousers,Female,"[""cocktail"",""dressy casual"",""active"",""business formal""]","['16.67%', '33.33%', '16.67%', '33.33%']","[1, 2, 1, 2]",6
142,top,oxford top,Male,"[""creative black tie"",""casual"",""business formal"",""dressy casual""]","['0.19%', '82.63%', '0.31%', '16.87%']","[3, 1332, 5, 272]",1612
143,dress,beach dress,Female,"[""dressy casual"",""beach"",""business formal"",""casual""]","['0.29%', '22.08%', '1.55%', '76.09%']","[6, 457, 32, 1575]",2070
144,pants,tights,Female,"[""cocktail"",""active"",""dressy casual"",""casual"",""business formal""]","['9.64%', '45.18%', '31.93%', '12.05%', '1.2%']","[16, 75, 53, 20, 2]",166
145,skirt,kilt,Female,"[""dressy casual"",""creative black tie""]","['2.88%', '97.12%']","[3, 101]",104
146,shirt,tank top,Female,"[""business formal"",""beach"",""dressy casual"",""casual"",""active""]","['63.85%', '0.02%', '3.08%', '17.96%', '15.09%']","[5620, 2, 271, 1581, 1328]",8802
147,pants,sweat pants,Male,"[""casual"",""active"",""business formal"",""dressy casual""]","['75.04%', '21.61%', '0.3%', '3.04%']","[493, 142, 2, 20]",657
